,group id,BrainID,roi id,Count,Total Area,Average Size,%Area,Perim.,ROI um^2,ROI mm^2,#Cell Density/mm^2,Genotype,Sex,Treatment
98,I,5,ACB,9,364.1876667,41.73033333,0.036666667,22.95666667,989661.3413,0.989661341,9.091934237,GG,F,SAL
99,I,5,AId,3.666666667,184.548,42.31966667,0.121,22.23733333,160957.1273,0.160957127,24.27134655,GG,F,SAL
100,I,5,AIv,9.333333333,391.6733333,39.18966667,0.114333333,21.22566667,353339.414,0.353339414,27.35843037,GG,F,SAL
101,I,5,BLA,8,340.7533333,42.517,0.281666667,22.737,121497.935,0.121497935,67.36405028,GG,F,SAL
102,I,5,BST,38,1336.152,35.375,0.443333333,19.94566667,338278.3153,0.338278315,127.6685508,GG,F,SAL
103,I,5,CEA,4,133.7133333,31.8105,0.053,19.5735,315894.0567,0.315894057,16.25081559,GG,F,SAL
104,I,5,CLA,3.666666667,187.493,51.694,0.429666667,24.712,54897.092,0.054897092,85.10191451,GG,F,SAL
105,I,5,CP,51.25,2088.257,32.97,0.07075,20.212,2152440.759,2.152440759,18.24902333,GG,F,SAL
106,I,5,DG,3,119.3356667,40.25766667,0.107,21.189,107942.571,0.107942571,27.39596904,GG,F,SAL
107,I,5,GPe,4,148.81,29.115,0.0755,17.1085,222138.7535,0.222138754,19.54748903,GG,F,SAL
108,I,5,GPi,16,651.313,40.707,0.273,21.498,238686.852,0.238686852,67.03343676,GG,F,SAL
109,I,5,ILA,15,563.951,35.928,0.503,20.523,121336.277,0.121336277,131.755511,GG,F,SAL
110,I,5,LH,0.5,8.6265,17.253,0.0195,11.748,33637.5195,0.03363752,11.382528,GG,F,SAL
111,I,5,LHA,16,457.2135,28.6035,0.0945,17.6765,488187.2275,0.488187228,32.98555392,GG,F,SAL
112,I,5,MH,1,24.442,29.115,0.055666667,19.1435,43642.293,0.043642293,23.35751825,GG,F,SAL
113,I,5,PAG,92.33333333,3596.739667,37.638,0.303666667,20.65966667,1226220.703,1.226220703,77.55604215,GG,F,SAL
